00:02 xoaii         : ali ale
00:12 xoaii         : alo a mạnh
00:12 Manhtato      : oi
00:12 xoaii         : e xây 1 cái cối xây gió nữa nhá
00:13 Manhtato      : de lmh
00:13 xoaii         : k biết nên xây gần nhà kem hay gần nhà a khôi
00:13 xoaii         : hoặc là xây sau nhà c krost:)))
00:14 Manhtato      : xay nha nua lamf gi
00:14 xoaii         : dau xay cho dep
00:14 Manhtato      : @@
00:30 xoaii         : c krost thich cau ca kh
00:30 xoaii         : e xay cho 1 khu
00:31 Manhtato      : xoai thay xinh dep tuyet voi ko
00:32 xoaii         : này chỉ có netflix and chill
00:32 xoaii         : c krost xinh iu
00:42 xoaii         : nhà c krost 3 cái giường ghê thé;v
00:52 xoaii         : block vang` vang` la cai gi:vv
00:56 xoaii         : cái phòng này netflix and chill của a mạnh và krost
00:57 xoaii         : a mạnh hay lừa lắm
00:57 xoaii         : nhất là lừa lên giường
00:57 xoaii         : có mà lừa lên đi ngủ
00:58 xoaii         : vả chết
00:58 xoaii         : nghe chưa
00:59 xoaii         : làm lành chữa tình
01:00 xoaii         : dep nhu c krost
01:00 xoaii         : a manh xau
01:00 xoaii         : e thấy r
01:00 xoaii         : :))\
01:01 xoaii         : giờ a mạnh k khen xinh đâu
01:01 xoaii         : a mạnh khen ngon thôi
01:06 xoaii         : :))
01:06 xoaii         : xây thêm cái tv
01:07 xoaii         : xay o day
01:07 xoaii         : cho ông mạnh với c netflix and chill
01:10 xoaii         : mai họp làng
01:13 xoaii         : chuan bi e nghi nhe
01:17 xoaii placed suspicious WATER_BUCKET @ world: x173, z-880
01:20 xoaii         : xoai con 3p
01:20 xoaii         : c nhập luôn tên skin á:vv
01:21 xoaii         : mai họp làng
01:21 xoaii         : thủ trưởng đôi lời muốn nói
01:22 xoaii         : e con
01:22 xoaii         : 1-
01:22 xoaii         : 1p
01:22 xoaii         : g9
01:36 xoaii placed suspicious WATER_BUCKET @ world: x122, z-896
11:38 Caothanh2008  : anh dung oi
13:13 kemhehe       : ANH OI
13:13 kemhehe       : em vo nha krost xong em ket r
13:26 kemhehe       : =))
13:26 kemhehe       : hihi
13:26 Manhtato      : dis
13:27 Manhtato      : tram ak
13:27 Manhtato      : ??
13:42 Mushokujup    : manhhh
13:42 kemhehe       : cuu tui
13:42 Mushokujup    : cuuu em
13:42 kemhehe       : troi oi
13:42 Mushokujup    : em ket trong nha ca rot r
13:43 Mushokujup    : manh meooo
13:43 kemhehe       : ra
13:46 Mushokujup    : manh s e k mo dc balo nua
13:46 Manhtato      : tu tu
13:46 Manhtato      : dung dang fix
13:54 kemhehe       : bat sang tao cho em xay nhaaaaaaa
13:54 Mushokujup    : ...
13:54 Mushokujup    : anh xay nha = sinh ton
13:54 kemhehe       : anh dung kia
13:55 Mushokujup    : qua day
13:55 kemhehe       : =)))
13:55 Mushokujup    : ben bo song
13:55 Mushokujup    : lap san tren nay giup anh
13:56 kemhehe       : trust
13:56 Mushokujup    : r
13:56 kemhehe       : nhanh ti em di hoc h
13:56 Mushokujup    : may h ve
13:56 kemhehe       : 4 ruoi
13:56 Mushokujup    : anh dang ngoi tren lop=))
13:56 kemhehe       : =))
13:57 kemhehe       : het go
13:57 kemhehe       : r sao nua
13:58 khoi1309      : có mic game hok mạnh bật lên
13:58 Mushokujup    : k
13:58 Manhtato      : chua cap quyen
13:59 khoi1309      : nhà to thế :)
14:00 khoi1309      : ko có quyền dể nói :))))))))
14:01 Mushokujup    : nay shop kem ra cgi k
14:02 kemhehe       : chua co vo
14:02 Mushokujup    : toi nay choi dc k
14:03 Mushokujup    : qua day giup anh xay tuong=))
14:15 Mushokujup    : +1 cai nha
14:17 Mushokujup    : manh oi lenh trust chi dung dc tren 1 claim th ha
14:17 Manhtato      : ko
14:18 Manhtato      : tren claim may thoi
14:18 Mushokujup    : em nho em trust kem r nhma tao claim moi ph trust lai
14:18 Manhtato      : dung r
14:18 Mushokujup    : =)
14:19 khoi1309      : farm tí 4 st cà rốt :))
14:24 Mushokujup    : cong ti gi day anh
14:26 Mushokujup    : cuuuuuuuuuuuuuuuuuuuuuuuuu
14:28 khoi1309      : ê anh phát anh dùng debug stick chỉnh nó thành đèn thành sáng ko cần redstone dc ko nhìn cho nó đẹp :)
14:28 Mushokujup    : lam cong ti nay bnhieu tien v
14:30 khoi1309      : ê anh phát
14:30 MinerwolfybtVn: owi
14:31 khoi1309      : anh dùng debug stick chỉnh cái đèn thành sáng luôn nhìn cho đẹp :0
14:31 khoi1309      : :)
14:31 MinerwolfybtVn: ko thich
21:02 Caothanh2008  : anh dung
21:03 Caothanh2008  : anh dung dep zai
21:04 Caothanh2008  : anh
21:04 MinerwolfybtVn: .
21:04 Caothanh2008  : cho em mấy cái vỏ ốc đc ko
21:05 Caothanh2008  : anh
21:05 Caothanh2008  : em câu 1 đêm ko ra cái nào
21:05 MinerwolfybtVn: 64 block kc
21:05 Caothanh2008  : vc
21:05 Caothanh2008  : vor oocs thooi ma
21:05 MinerwolfybtVn: nhma nó hiếm
21:05 Caothanh2008  : bt cau 1 ti ra luon
21:05 Caothanh2008  : dang nay cau ko ra cai nao
21:06 MinerwolfybtVn: t chỉnh tỉ lệ ra thấp hơn 2%
21:06 Caothanh2008  : :))
21:06 Caothanh2008  : vc
21:06 Caothanh2008  : thoi anh
21:06 Caothanh2008  : ca nha em con 4 block
21:06 Caothanh2008  : anh dlay tam ik
21:06 MinerwolfybtVn: nghe bảo beat giàu lắm mà
21:06 Caothanh2008  : beat het tien r
21:06 Caothanh2008  : :))
21:06 MinerwolfybtVn: kệ beat
21:07 Caothanh2008  : anhhh
21:07 Caothanh2008  : huhu
21:07 Caothanh2008  : h em co it tao vang anh lay k
21:07 MinerwolfybtVn: chê
21:08 Caothanh2008  : ca nha co 1 cai vat to truong sinh
21:08 Caothanh2008  : doi dc ko
21:08 MinerwolfybtVn: anh liêm
21:08 Caothanh2008  : liem cai j ma chinh ti le thap hon bt v ba
21:09 Caothanh2008  : a
21:09 Caothanh2008  : ko
21:09 Caothanh2008  : nhung ma
21:09 Caothanh2008  : it treo 1 dem cung phai 1 2 cai j chu
21:09 Caothanh2008  : cai loz j ma ko ra cai nao v
21:09 MinerwolfybtVn: anh liêm em ạ
